Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
| train/                  |           |
|    approx_kl            | 0.0991267 |
|    clip_fraction        | 0.56      |
|    clip_range           | 0.2       |
|    entropy_loss         | 1.07      |
|    explained_variance   | 0.803     |
|    learning_rate        | 0.0003    |
|    loss                 | 2.95      |
|    n_updates            | 15790     |
|    policy_gradient_loss | -0.0341   |
|    std                  | 0.209     |
|    value_loss           | 3.81      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 115         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 1581        |
|    time_elapsed         | 21662       |
|    total_timesteps      | 3237888     |
| train/                  |             |
|    approx_kl            | 0.118004255 |
|    clip_fraction        | 0.559       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.11        |
|    explained_variance   | 0.866       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.95        |
|    n_updates            | 15800       |
|    policy_gradient_loss | -0.0259     |
|    std                  | 0.209       |
|    value_loss           | 2.49        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 115        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1582       |
|    time_elapsed         | 21671      |
|    total_timesteps      | 3239936    |
| train/                  |            |
|    approx_kl            | 0.10079837 |
|    clip_fraction        | 0.53       |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.12       |
|    explained_variance   | 0.437      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.687      |
|    n_updates            | 15810      |
|    policy_gradient_loss | -0.0178    |
|    std                  | 0.209      |
|    value_loss           | 5.53       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 116        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1583       |
|    time_elapsed         | 21679      |
|    total_timesteps      | 3241984    |
| train/                  |            |
|    approx_kl            | 0.12337416 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.09       |
|    explained_variance   | 0.631      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.383      |
|    n_updates            | 15820      |
|    policy_gradient_loss | -0.0272    |
|    std                  | 0.21       |
|    value_loss           | 2.8        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 117         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 1584        |
|    time_elapsed         | 21688       |
|    total_timesteps      | 3244032     |
| train/                  |             |
|    approx_kl            | 0.120793775 |
|    clip_fraction        | 0.586       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.08        |
|    explained_variance   | 0.882       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.29        |
|    n_updates            | 15830       |
|    policy_gradient_loss | -0.0322     |
|    std                  | 0.21        |
|    value_loss           | 2.22        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 116        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1585       |
|    time_elapsed         | 21697      |
|    total_timesteps      | 3246080    |
| train/                  |            |
|    approx_kl            | 0.10434374 |
|    clip_fraction        | 0.548      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.08       |
|    explained_variance   | 0.913      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.918      |
|    n_updates            | 15840      |
|    policy_gradient_loss | -0.0259    |
|    std                  | 0.21       |
|    value_loss           | 4.1        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 114        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1586       |
|    time_elapsed         | 21706      |
|    total_timesteps      | 3248128    |
| train/                  |            |
|    approx_kl            | 0.13921809 |
|    clip_fraction        | 0.578      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.1        |
|    explained_variance   | 0.894      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.335      |
|    n_updates            | 15850      |
|    policy_gradient_loss | -0.0413    |
|    std                  | 0.209      |
|    value_loss           | 1.91       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 115        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1587       |
|    time_elapsed         | 21715      |
|    total_timesteps      | 3250176    |
| train/                  |            |
|    approx_kl            | 0.11921354 |
|    clip_fraction        | 0.592      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.12       |
|    explained_variance   | 0.756      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.173      |
|    n_updates            | 15860      |
|    policy_gradient_loss | -0.0332    |
|    std                  | 0.21       |
|    value_loss           | 2.01       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 115        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1588       |
|    time_elapsed         | 21724      |
|    total_timesteps      | 3252224    |
| train/                  |            |
|    approx_kl            | 0.16476747 |
|    clip_fraction        | 0.58       |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.1        |
|    explained_variance   | 0.844      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.362      |
|    n_updates            | 15870      |
|    policy_gradient_loss | -0.0385    |
|    std                  | 0.21       |
|    value_loss           | 2.95       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 114        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1589       |
|    time_elapsed         | 21733      |
|    total_timesteps      | 3254272    |
| train/                  |            |
|    approx_kl            | 0.09900409 |
|    clip_fraction        | 0.544      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.1        |
|    explained_variance   | 0.802      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.13       |
|    n_updates            | 15880      |
|    policy_gradient_loss | -0.0355    |
|    std                  | 0.209      |
|    value_loss           | 2.56       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 114        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1590       |
|    time_elapsed         | 21742      |
|    total_timesteps      | 3256320    |
| train/                  |            |
|    approx_kl            | 0.29352373 |
|    clip_fraction        | 0.598      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.12       |
|    explained_variance   | 0.893      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.74       |
|    n_updates            | 15890      |
|    policy_gradient_loss | -0.0381    |
|    std                  | 0.209      |
|    value_loss           | 2.92       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 113        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1591       |
|    time_elapsed         | 21751      |
|    total_timesteps      | 3258368    |
| train/                  |            |
|    approx_kl            | 0.13208735 |
|    clip_fraction        | 0.59       |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.13       |
|    explained_variance   | 0.835      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.144      |
|    n_updates            | 15900      |
|    policy_gradient_loss | -0.034     |
|    std                  | 0.209      |
|    value_loss           | 1.61       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 113        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1592       |
|    time_elapsed         | 21759      |
|    total_timesteps      | 3260416    |
| train/                  |            |
|    approx_kl            | 0.19976892 |
|    clip_fraction        | 0.629      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.11       |
|    explained_variance   | 0.862      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.239      |
|    n_updates            | 15910      |
|    policy_gradient_loss | -0.0229    |
|    std                  | 0.209      |
|    value_loss           | 1.43       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 111        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1593       |
|    time_elapsed         | 21768      |
|    total_timesteps      | 3262464    |
| train/                  |            |
|    approx_kl            | 0.12782243 |
|    clip_fraction        | 0.577      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.11       |
|    explained_variance   | 0.756      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.565      |
|    n_updates            | 15920      |
|    policy_gradient_loss | -0.0344    |
|    std                  | 0.21       |
|    value_loss           | 2.2        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 111        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1594       |
|    time_elapsed         | 21777      |
|    total_timesteps      | 3264512    |
| train/                  |            |
|    approx_kl            | 0.12547602 |
|    clip_fraction        | 0.568      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.11       |
|    explained_variance   | 0.838      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.632      |
|    n_updates            | 15930      |
|    policy_gradient_loss | -0.0352    |
|    std                  | 0.21       |
|    value_loss           | 1.84       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 112        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 1595       |
|    time_elapsed         | 21786      |
|    total_timesteps      | 3266560    |
| train/                  |            |
|    approx_kl            | 0.11355692 |
|    clip_fraction        | 0.554      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.14       |
|    explained_variance   | 0.879      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.301      |
|    n_updates            | 15940      |
|    policy_gradient_loss | -0.0268    |
|    std                  | 0.208      |
|    value_loss           | 2.1        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 113         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 1596        |
|    time_elapsed         | 21795       |
|    total_timesteps      | 3268608     |
| train/                  |             |
|    approx_kl            | 0.102391884 |
|    clip_fraction        | 0.543       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.17        |
|    explained_variance   | 0.759       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.364       |
|    n_updates            | 15950       |
|    policy_gradient_loss | -0.0281     |
|    std                  | 0.207       |
|    value_loss           | 2.8         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 113         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 1597        |
|    time_elapsed         | 21804       |
|    total_timesteps      | 3270656     |
| train/                  |             |
|    approx_kl            | 0.076398045 |
|    clip_fraction        | 0.55        |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.19        |
|    explained_variance   | 0.435       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.5         |
|    n_updates            | 15960       |
|    policy_gradient_loss | -0.0094     |
|    std                  | 0.207       |
|    value_loss           | 4.91        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 114        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1598       |
|    time_elapsed         | 21813      |
|    total_timesteps      | 3272704    |
| train/                  |            |
|    approx_kl            | 0.15324105 |
|    clip_fraction        | 0.612      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.2        |
|    explained_variance   | 0.945      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.396      |
|    n_updates            | 15970      |
|    policy_gradient_loss | -0.0177    |
|    std                  | 0.207      |
|    value_loss           | 2.45       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 112        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1599       |
|    time_elapsed         | 21822      |
|    total_timesteps      | 3274752    |
| train/                  |            |
|    approx_kl            | 0.13751276 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.19       |
|    explained_variance   | 0.912      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.963      |
|    n_updates            | 15980      |
|    policy_gradient_loss | -0.0281    |
|    std                  | 0.207      |
|    value_loss           | 2.03       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 113        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1600       |
|    time_elapsed         | 21831      |
|    total_timesteps      | 3276800    |
| train/                  |            |
|    approx_kl            | 0.16871706 |
|    clip_fraction        | 0.601      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.21       |
|    explained_variance   | 0.785      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.229      |
|    n_updates            | 15990      |
|    policy_gradient_loss | -0.0364    |
|    std                  | 0.206      |
|    value_loss           | 2.13       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 112        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1601       |
|    time_elapsed         | 21839      |
|    total_timesteps      | 3278848    |
| train/                  |            |
|    approx_kl            | 0.16049585 |
|    clip_fraction        | 0.583      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.22       |
|    explained_variance   | 0.903      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.361      |
|    n_updates            | 16000      |
|    policy_gradient_loss | -0.0396    |
|    std                  | 0.207      |
|    value_loss           | 2.03       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 112        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1602       |
|    time_elapsed         | 21848      |
|    total_timesteps      | 3280896    |
| train/                  |            |
|    approx_kl            | 0.13306993 |
|    clip_fraction        | 0.594      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.22       |
|    explained_variance   | 0.917      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.656      |
|    n_updates            | 16010      |
|    policy_gradient_loss | -0.0383    |
|    std                  | 0.206      |
|    value_loss           | 1.92       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1603       |
|    time_elapsed         | 21857      |
|    total_timesteps      | 3282944    |
| train/                  |            |
|    approx_kl            | 0.12432052 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.24       |
|    explained_variance   | 0.933      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.347      |
|    n_updates            | 16020      |
|    policy_gradient_loss | -0.021     |
|    std                  | 0.205      |
|    value_loss           | 2.2        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1604       |
|    time_elapsed         | 21866      |
|    total_timesteps      | 3284992    |
| train/                  |            |
|    approx_kl            | 0.10432914 |
|    clip_fraction        | 0.568      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.26       |
|    explained_variance   | 0.584      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.741      |
|    n_updates            | 16030      |
|    policy_gradient_loss | -0.0176    |
|    std                  | 0.205      |
|    value_loss           | 3.36       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 107        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1605       |
|    time_elapsed         | 21874      |
|    total_timesteps      | 3287040    |
| train/                  |            |
|    approx_kl            | 0.10999605 |
|    clip_fraction        | 0.58       |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.25       |
|    explained_variance   | 0.843      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.703      |
|    n_updates            | 16040      |
|    policy_gradient_loss | -0.023     |
|    std                  | 0.205      |
|    value_loss           | 2.08       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 104        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1606       |
|    time_elapsed         | 21884      |
|    total_timesteps      | 3289088    |
| train/                  |            |
|    approx_kl            | 0.14390618 |
|    clip_fraction        | 0.588      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.23       |
|    explained_variance   | 0.765      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.502      |
|    n_updates            | 16050      |
|    policy_gradient_loss | -0.0328    |
|    std                  | 0.206      |
|    value_loss           | 2.44       |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 500       |
|    ep_rew_mean          | 103       |
| time/                   |           |
|    fps                  | 150       |
|    iterations           | 1607      |
|    time_elapsed         | 21893     |
|    total_timesteps      | 3291136   |
| train/                  |           |
|    approx_kl            | 0.1067238 |
|    clip_fraction        | 0.569     |
|    clip_range           | 0.2       |
|    entropy_loss         | 1.22      |
|    explained_variance   | 0.887     |
|    learning_rate        | 0.0003    |
|    loss                 | 1.29      |
|    n_updates            | 16060     |
|    policy_gradient_loss | -0.0367   |
|    std                  | 0.206     |
|    value_loss           | 2.32      |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 102        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1608       |
|    time_elapsed         | 21901      |
|    total_timesteps      | 3293184    |
| train/                  |            |
|    approx_kl            | 0.14665124 |
|    clip_fraction        | 0.587      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.21       |
|    explained_variance   | 0.714      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.09       |
|    n_updates            | 16070      |
|    policy_gradient_loss | -0.0314    |
|    std                  | 0.207      |
|    value_loss           | 1.75       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 104         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 1609        |
|    time_elapsed         | 21911       |
|    total_timesteps      | 3295232     |
| train/                  |             |
|    approx_kl            | 0.120463625 |
|    clip_fraction        | 0.569       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.21        |
|    explained_variance   | 0.838       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.255       |
|    n_updates            | 16080       |
|    policy_gradient_loss | -0.0352     |
|    std                  | 0.207       |
|    value_loss           | 2.26        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 103        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1610       |
|    time_elapsed         | 21919      |
|    total_timesteps      | 3297280    |
| train/                  |            |
|    approx_kl            | 0.11164477 |
|    clip_fraction        | 0.6        |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.22       |
|    explained_variance   | 0.68       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.908      |
|    n_updates            | 16090      |
|    policy_gradient_loss | -0.016     |
|    std                  | 0.207      |
|    value_loss           | 3.1        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 104        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1611       |
|    time_elapsed         | 21928      |
|    total_timesteps      | 3299328    |
| train/                  |            |
|    approx_kl            | 0.12823236 |
|    clip_fraction        | 0.574      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.22       |
|    explained_variance   | 0.903      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.875      |
|    n_updates            | 16100      |
|    policy_gradient_loss | -0.0302    |
|    std                  | 0.206      |
|    value_loss           | 2.6        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 103        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1612       |
|    time_elapsed         | 21937      |
|    total_timesteps      | 3301376    |
| train/                  |            |
|    approx_kl            | 0.12735604 |
|    clip_fraction        | 0.587      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.24       |
|    explained_variance   | 0.868      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.626      |
|    n_updates            | 16110      |
|    policy_gradient_loss | -0.0316    |
|    std                  | 0.206      |
|    value_loss           | 2.41       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 104        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1613       |
|    time_elapsed         | 21946      |
|    total_timesteps      | 3303424    |
| train/                  |            |
|    approx_kl            | 0.13793665 |
|    clip_fraction        | 0.586      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.24       |
|    explained_variance   | 0.822      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.767      |
|    n_updates            | 16120      |
|    policy_gradient_loss | -0.0381    |
|    std                  | 0.206      |
|    value_loss           | 2          |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 104        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1614       |
|    time_elapsed         | 21955      |
|    total_timesteps      | 3305472    |
| train/                  |            |
|    approx_kl            | 0.12126822 |
|    clip_fraction        | 0.585      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.25       |
|    explained_variance   | 0.827      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.9        |
|    n_updates            | 16130      |
|    policy_gradient_loss | -0.0326    |
|    std                  | 0.205      |
|    value_loss           | 3.4        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 105        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1615       |
|    time_elapsed         | 21964      |
|    total_timesteps      | 3307520    |
| train/                  |            |
|    approx_kl            | 0.11120638 |
|    clip_fraction        | 0.569      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.27       |
|    explained_variance   | 0.869      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.07       |
|    n_updates            | 16140      |
|    policy_gradient_loss | -0.025     |
|    std                  | 0.205      |
|    value_loss           | 3.44       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 106        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1616       |
|    time_elapsed         | 21973      |
|    total_timesteps      | 3309568    |
| train/                  |            |
|    approx_kl            | 0.12318346 |
|    clip_fraction        | 0.596      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.29       |
|    explained_variance   | 0.806      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.511      |
|    n_updates            | 16150      |
|    policy_gradient_loss | -0.0221    |
|    std                  | 0.205      |
|    value_loss           | 3.41       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 106        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1617       |
|    time_elapsed         | 21981      |
|    total_timesteps      | 3311616    |
| train/                  |            |
|    approx_kl            | 0.08570398 |
|    clip_fraction        | 0.572      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.29       |
|    explained_variance   | 0.772      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.28       |
|    n_updates            | 16160      |
|    policy_gradient_loss | -0.0132    |
|    std                  | 0.205      |
|    value_loss           | 4.99       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 106        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1618       |
|    time_elapsed         | 21990      |
|    total_timesteps      | 3313664    |
| train/                  |            |
|    approx_kl            | 0.11295738 |
|    clip_fraction        | 0.563      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.28       |
|    explained_variance   | 0.845      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.861      |
|    n_updates            | 16170      |
|    policy_gradient_loss | -0.0221    |
|    std                  | 0.205      |
|    value_loss           | 4.6        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 107        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1619       |
|    time_elapsed         | 21999      |
|    total_timesteps      | 3315712    |
| train/                  |            |
|    approx_kl            | 0.14465931 |
|    clip_fraction        | 0.612      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.3        |
|    explained_variance   | 0.94       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.239      |
|    n_updates            | 16180      |
|    policy_gradient_loss | -0.0281    |
|    std                  | 0.204      |
|    value_loss           | 1.95       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 105        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1620       |
|    time_elapsed         | 22008      |
|    total_timesteps      | 3317760    |
| train/                  |            |
|    approx_kl            | 0.12830989 |
|    clip_fraction        | 0.612      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.31       |
|    explained_variance   | 0.912      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.532      |
|    n_updates            | 16190      |
|    policy_gradient_loss | -0.024     |
|    std                  | 0.203      |
|    value_loss           | 1.52       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 106        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1621       |
|    time_elapsed         | 22017      |
|    total_timesteps      | 3319808    |
| train/                  |            |
|    approx_kl            | 0.18723969 |
|    clip_fraction        | 0.633      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.34       |
|    explained_variance   | 0.821      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.207      |
|    n_updates            | 16200      |
|    policy_gradient_loss | -0.0425    |
|    std                  | 0.202      |
|    value_loss           | 1.53       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 107        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1622       |
|    time_elapsed         | 22026      |
|    total_timesteps      | 3321856    |
| train/                  |            |
|    approx_kl            | 0.09382995 |
|    clip_fraction        | 0.568      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.37       |
|    explained_variance   | 0.651      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.66       |
|    n_updates            | 16210      |
|    policy_gradient_loss | -0.0168    |
|    std                  | 0.202      |
|    value_loss           | 4.34       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 107         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 1623        |
|    time_elapsed         | 22035       |
|    total_timesteps      | 3323904     |
| train/                  |             |
|    approx_kl            | 0.123465456 |
|    clip_fraction        | 0.599       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.39        |
|    explained_variance   | 0.782       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.77        |
|    n_updates            | 16220       |
|    policy_gradient_loss | -0.022      |
|    std                  | 0.201       |
|    value_loss           | 2.03        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 107        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 1624       |
|    time_elapsed         | 22044      |
|    total_timesteps      | 3325952    |
| train/                  |            |
|    approx_kl            | 0.13543701 |
|    clip_fraction        | 0.602      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.41       |
|    explained_variance   | 0.848      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.373      |
|    n_updates            | 16230      |
|    policy_gradient_loss | -0.0342    |
|    std                  | 0.201      |
|    value_loss           | 2.13       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 110        |
